Rule   (Support, Confidence) 
5 -> 6,192  (77.3326%, 91.5827%)
6 -> 5,192  (77.3326%, 87.2176%)
192 -> 5,6  (77.3326%, 96.8052%)
5,6 -> 192  (77.3326%, 93.466%)
5,192 -> 6  (77.3326%, 99.4354%)
6,192 -> 5  (77.3326%, 98.6004%)
3 -> 5,6,192  (77.2228%, 83.2544%)
5 -> 3,6,192  (77.2228%, 91.4527%)
6 -> 3,5,192  (77.2228%, 87.0938%)
192 -> 3,5,6  (77.2228%, 96.6678%)
3,5 -> 6,192  (77.2228%, 93.1171%)
3,6 -> 5,192  (77.2228%, 88.4906%)
3,192 -> 5,6  (77.2228%, 97.8102%)
5,6 -> 3,192  (77.2228%, 93.3333%)
5,192 -> 3,6  (77.2228%, 99.2943%)
6,192 -> 3,5  (77.2228%, 98.4605%)
3,5,6 -> 192  (77.2228%, 94.4929%)
3,5,192 -> 6  (77.2228%, 99.4698%)
3,6,192 -> 5  (77.2228%, 98.5985%)
5,6,192 -> 3  (77.2228%, 99.8581%)
6 -> 91  (77.1954%, 87.0628%)
91 -> 6  (77.1954%, 98.4599%)
3 -> 6,91  (77.0582%, 83.0769%)
6 -> 3,91  (77.0582%, 86.9081%)
91 -> 3,6  (77.0582%, 98.2849%)
3,6 -> 91  (77.0582%, 88.3019%)
3,91 -> 6  (77.0582%, 99.2577%)
6,91 -> 3  (77.0582%, 99.8223%)
5 -> 91  (76.8935%, 91.0627%)
91 -> 5  (76.8935%, 98.0749%)
3 -> 5,91  (76.674%, 82.6627%)
5 -> 3,91  (76.674%, 90.8027%)
91 -> 3,5  (76.674%, 97.7949%)
3,5 -> 91  (76.674%, 92.4553%)
3,91 -> 5  (76.674%, 98.7628%)
5,91 -> 3  (76.674%, 99.7145%)
5 -> 6,91  (76.427%, 90.5102%)
6 -> 5,91  (76.427%, 86.1962%)
91 -> 5,6  (76.427%, 97.4799%)
5,6 -> 91  (76.427%, 92.3715%)
5,91 -> 6  (76.427%, 99.3933%)
6,91 -> 5  (76.427%, 99.0046%)
3 -> 5,6,91  (76.2898%, 82.2485%)
5 -> 3,6,91  (76.2898%, 90.3477%)
6 -> 3,5,91  (76.2898%, 86.0415%)
91 -> 3,5,6  (76.2898%, 97.3049%)
3,5 -> 6,91  (76.2898%, 91.9921%)
3,6 -> 5,91  (76.2898%, 87.4214%)
3,91 -> 5,6  (76.2898%, 98.2679%)
5,6 -> 3,91  (76.2898%, 92.2056%)
5,91 -> 3,6  (76.2898%, 99.2148%)
6,91 -> 3,5  (76.2898%, 98.8269%)
3,5,6 -> 91  (76.2898%, 93.3512%)
3,5,91 -> 6  (76.2898%, 99.4989%)
3,6,91 -> 5  (76.2898%, 99.0028%)
5,6,91 -> 3  (76.2898%, 99.8205%)
192 -> 197  (76.0154%, 95.1563%)
197 -> 192  (76.0154%, 95.7815%)
3 -> 192,197  (75.933%, 81.8639%)
192 -> 3,197  (75.933%, 95.0532%)
197 -> 3,192  (75.933%, 95.6777%)
3,192 -> 197  (75.933%, 96.1766%)
3,197 -> 192  (75.933%, 96.043%)
192,197 -> 3  (75.933%, 99.8917%)
5 -> 192,197  (75.9056%, 89.8928%)
192 -> 5,197  (75.9056%, 95.0189%)
197 -> 5,192  (75.9056%, 95.6432%)
5,192 -> 197  (75.9056%, 97.6006%)
5,197 -> 192  (75.9056%, 96.3092%)
192,197 -> 5  (75.9056%, 99.8556%)
6 -> 192,197  (75.8782%, 85.5772%)
192 -> 6,197  (75.8782%, 94.9845%)
197 -> 6,192  (75.8782%, 95.6086%)
6,192 -> 197  (75.8782%, 96.746%)
6,197 -> 192  (75.8782%, 96.2074%)
192,197 -> 6  (75.8782%, 99.8195%)
91 -> 192  (75.8507%, 96.7448%)
192 -> 91  (75.8507%, 94.9502%)
3 -> 5,192,197  (75.8233%, 81.7456%)
5 -> 3,192,197  (75.8233%, 89.7953%)
192 -> 3,5,197  (75.8233%, 94.9158%)
197 -> 3,5,192  (75.8233%, 95.5394%)
3,5 -> 192,197  (75.8233%, 91.4295%)
3,192 -> 5,197  (75.8233%, 96.0375%)
3,197 -> 5,192  (75.8233%, 95.9042%)
5,192 -> 3,197  (75.8233%, 97.4947%)
5,197 -> 3,192  (75.8233%, 96.2047%)
192,197 -> 3,5  (75.8233%, 99.7473%)
3,5,192 -> 197  (75.8233%, 97.667%)
3,5,197 -> 192  (75.8233%, 96.5409%)
3,192,197 -> 5  (75.8233%, 99.8554%)
5,192,197 -> 3  (75.8233%, 99.8915%)
3 -> 6,192,197  (75.7958%, 81.716%)
6 -> 3,192,197  (75.7958%, 85.4844%)
192 -> 3,6,197  (75.7958%, 94.8815%)
197 -> 3,6,192  (75.7958%, 95.5048%)
3,6 -> 192,197  (75.7958%, 86.8553%)
3,192 -> 6,197  (75.7958%, 96.0028%)
3,197 -> 6,192  (75.7958%, 95.8695%)
6,192 -> 3,197  (75.7958%, 96.641%)
6,197 -> 3,192  (75.7958%, 96.103%)
192,197 -> 3,6  (75.7958%, 99.7112%)
3,6,192 -> 197  (75.7958%, 96.7765%)
3,6,197 -> 192  (75.7958%, 96.4722%)
3,192,197 -> 6  (75.7958%, 99.8193%)
6,192,197 -> 3  (75.7958%, 99.8915%)
3 -> 91,192  (75.5488%, 81.4497%)
91 -> 3,192  (75.5488%, 96.3598%)
192 -> 3,91  (75.5488%, 94.5723%)
3,91 -> 192  (75.5488%, 97.3135%)
3,192 -> 91  (75.5488%, 95.69%)
91,192 -> 3  (75.5488%, 99.602%)
6 -> 91,192  (75.3019%, 84.9273%)
91 -> 6,192  (75.3019%, 96.0448%)
192 -> 6,91  (75.3019%, 94.2631%)
6,91 -> 192  (75.3019%, 97.5471%)
6,192 -> 91  (75.3019%, 96.0112%)
91,192 -> 6  (75.3019%, 99.2764%)
91 -> 197  (75.2744%, 96.0098%)
197 -> 91  (75.2744%, 94.8479%)
3 -> 6,91,192  (75.247%, 81.1243%)
6 -> 3,91,192  (75.247%, 84.8654%)
91 -> 3,6,192  (75.247%, 95.9748%)
192 -> 3,6,91  (75.247%, 94.1944%)
3,6 -> 91,192  (75.247%, 86.2264%)
3,91 -> 6,192  (75.247%, 96.9247%)
3,192 -> 6,91  (75.247%, 95.3076%)
6,91 -> 3,192  (75.247%, 97.476%)
6,192 -> 3,91  (75.247%, 95.9412%)
91,192 -> 3,6  (75.247%, 99.2041%)
3,6,91 -> 192  (75.247%, 97.6496%)
3,6,192 -> 91  (75.247%, 96.0757%)
3,91,192 -> 6  (75.247%, 99.6004%)
6,91,192 -> 3  (75.247%, 99.9271%)
3 -> 91,197  (75.1372%, 81.0059%)
91 -> 3,197  (75.1372%, 95.8348%)
197 -> 3,91  (75.1372%, 94.675%)
3,91 -> 197  (75.1372%, 96.7833%)
3,197 -> 91  (75.1372%, 95.0364%)
91,197 -> 3  (75.1372%, 99.8177%)
5 -> 91,197  (75.1372%, 88.9828%)
91 -> 5,197  (75.1372%, 95.8348%)
197 -> 5,91  (75.1372%, 94.675%)
5,91 -> 197  (75.1372%, 97.7159%)
5,197 -> 91  (75.1372%, 95.3343%)
91,197 -> 5  (75.1372%, 99.8177%)
6 -> 91,197  (75.1372%, 84.7416%)
91 -> 6,197  (75.1372%, 95.8348%)
197 -> 6,91  (75.1372%, 94.675%)
6,91 -> 197  (75.1372%, 97.3338%)
6,197 -> 91  (75.1372%, 95.2679%)
91,197 -> 6  (75.1372%, 99.8177%)
5 -> 91,192  (75%, 88.8203%)
91 -> 5,192  (75%, 95.6598%)
192 -> 5,91  (75%, 93.8853%)
5,91 -> 192  (75%, 97.5375%)
5,192 -> 91  (75%, 96.4361%)
91,192 -> 5  (75%, 98.8784%)
3 -> 5,91,197  (75%, 80.858%)
5 -> 3,91,197  (75%, 88.8203%)
91 -> 3,5,197  (75%, 95.6598%)
197 -> 3,5,91  (75%, 94.5021%)
3,5 -> 91,197  (75%, 90.4368%)
3,91 -> 5,197  (75%, 96.6066%)
3,197 -> 5,91  (75%, 94.8629%)
5,91 -> 3,197  (75%, 97.5375%)
5,197 -> 3,91  (75%, 95.1602%)
91,197 -> 3,5  (75%, 99.6354%)
3,5,91 -> 197  (75%, 97.8168%)
3,5,197 -> 91  (75%, 95.4927%)
3,91,197 -> 5  (75%, 99.8174%)
5,91,197 -> 3  (75%, 99.8174%)
3 -> 6,91,197  (75%, 80.858%)
6 -> 3,91,197  (75%, 84.5868%)
91 -> 3,6,197  (75%, 95.6598%)
197 -> 3,6,91  (75%, 94.5021%)
3,6 -> 91,197  (75%, 85.9434%)
3,91 -> 6,197  (75%, 96.6066%)
3,197 -> 6,91  (75%, 94.8629%)
6,91 -> 3,197  (75%, 97.1561%)
6,197 -> 3,91  (75%, 95.0939%)
91,197 -> 3,6  (75%, 99.6354%)
3,6,91 -> 197  (75%, 97.3291%)
3,6,197 -> 91  (75%, 95.4593%)
3,91,197 -> 6  (75%, 99.8174%)
6,91,197 -> 3  (75%, 99.8174%)
3 -> 5,91,192  (74.9451%, 80.7988%)
5 -> 3,91,192  (74.9451%, 88.7553%)
91 -> 3,5,192  (74.9451%, 95.5898%)
192 -> 3,5,91  (74.9451%, 93.8166%)
3,5 -> 91,192  (74.9451%, 90.3706%)
3,91 -> 5,192  (74.9451%, 96.5359%)
3,192 -> 5,91  (74.9451%, 94.9253%)
5,91 -> 3,192  (74.9451%, 97.4661%)
5,192 -> 3,91  (74.9451%, 96.3656%)
91,192 -> 3,5  (74.9451%, 98.8061%)
3,5,91 -> 192  (74.9451%, 97.7452%)
3,5,192 -> 91  (74.9451%, 96.5359%)
3,91,192 -> 5  (74.9451%, 99.2009%)
5,91,192 -> 3  (74.9451%, 99.9268%)
91 -> 192,197  (74.0395%, 94.4347%)
192 -> 91,197  (74.0395%, 92.6829%)
197 -> 91,192  (74.0395%, 93.2918%)
91,192 -> 197  (74.0395%, 97.6122%)
91,197 -> 192  (74.0395%, 98.3595%)
192,197 -> 91  (74.0395%, 97.4007%)
3 -> 33  (73.6004%, 79.3491%)
33 -> 3  (73.6004%, 99.7768%)
5 -> 33  (73.4907%, 87.0328%)
33 -> 5  (73.4907%, 99.628%)
3 -> 5,33  (73.3809%, 79.1124%)
5 -> 3,33  (73.3809%, 86.9028%)
33 -> 3,5  (73.3809%, 99.4792%)
3,5 -> 33  (73.3809%, 88.4844%)
3,33 -> 5  (73.3809%, 99.7017%)
5,33 -> 3  (73.3809%, 99.8506%)
6 -> 33  (73.326%, 82.6989%)
33 -> 6  (73.326%, 99.4048%)
3 -> 6,33  (73.2162%, 78.9349%)
6 -> 3,33  (73.2162%, 82.5751%)
33 -> 3,6  (73.2162%, 99.256%)
3,6 -> 33  (73.2162%, 83.8994%)
3,33 -> 6  (73.2162%, 99.478%)
6,33 -> 3  (73.2162%, 99.8503%)
5 -> 6,33  (73.1614%, 86.6428%)
6 -> 5,33  (73.1614%, 82.5132%)
33 -> 5,6  (73.1614%, 99.1815%)
5,6 -> 33  (73.1614%, 88.4245%)
5,33 -> 6  (73.1614%, 99.5519%)
6,33 -> 5  (73.1614%, 99.7754%)
3 -> 5,6,33  (73.079%, 78.787%)
5 -> 3,6,33  (73.079%, 86.5453%)
6 -> 3,5,33  (73.079%, 82.4203%)
33 -> 3,5,6  (73.079%, 99.0699%)
3,5 -> 6,33  (73.079%, 88.1205%)
3,6 -> 5,33  (73.079%, 83.7421%)
3,33 -> 5,6  (73.079%, 99.2916%)
5,6 -> 3,33  (73.079%, 88.325%)
5,33 -> 3,6  (73.079%, 99.4399%)
6,33 -> 3,5  (73.079%, 99.6632%)
3,5,6 -> 33  (73.079%, 89.4224%)
3,5,33 -> 6  (73.079%, 99.5886%)
3,6,33 -> 5  (73.079%, 99.8126%)
5,6,33 -> 3  (73.079%, 99.8875%)
3 -> 45  (72.1186%, 77.7515%)
45 -> 3  (72.1186%, 99.6587%)
6 -> 45  (71.899%, 81.0894%)
45 -> 6  (71.899%, 99.3553%)
3 -> 221  (71.7892%, 77.3964%)
221 -> 3  (71.7892%, 99.5813%)
33 -> 197  (71.7618%, 97.2842%)
197 -> 33  (71.7618%, 90.4219%)
33 -> 192  (71.7344%, 97.247%)
192 -> 33  (71.7344%, 89.7973%)
3 -> 6,45  (71.7344%, 77.3373%)
6 -> 3,45  (71.7344%, 80.9037%)
45 -> 3,6  (71.7344%, 99.1278%)
3,6 -> 45  (71.7344%, 82.2013%)
3,45 -> 6  (71.7344%, 99.4673%)
6,45 -> 3  (71.7344%, 99.771%)
3 -> 33,197  (71.7344%, 77.3373%)
33 -> 3,197  (71.7344%, 97.247%)
197 -> 3,33  (71.7344%, 90.3873%)
3,33 -> 197  (71.7344%, 97.4646%)
3,197 -> 33  (71.7344%, 90.7324%)
33,197 -> 3  (71.7344%, 99.9618%)
5 -> 33,197  (71.7344%, 84.9529%)
33 -> 5,197  (71.7344%, 97.247%)
197 -> 5,33  (71.7344%, 90.3873%)
5,33 -> 197  (71.7344%, 97.6102%)
5,197 -> 33  (71.7344%, 91.0167%)
33,197 -> 5  (71.7344%, 99.9618%)
6 -> 33,197  (71.7069%, 80.8728%)
33 -> 6,197  (71.7069%, 97.2098%)
197 -> 6,33  (71.7069%, 90.3527%)
6,33 -> 197  (71.7069%, 97.7919%)
6,197 -> 33  (71.7069%, 90.9186%)
33,197 -> 6  (71.7069%, 99.9235%)
3 -> 5,33,197  (71.7069%, 77.3077%)
5 -> 3,33,197  (71.7069%, 84.9204%)
33 -> 3,5,197  (71.7069%, 97.2098%)
197 -> 3,5,33  (71.7069%, 90.3527%)
3,5 -> 33,197  (71.7069%, 86.4659%)
3,33 -> 5,197  (71.7069%, 97.4273%)
3,197 -> 5,33  (71.7069%, 90.6977%)
5,33 -> 3,197  (71.7069%, 97.5728%)
5,197 -> 3,33  (71.7069%, 90.9819%)
33,197 -> 3,5  (71.7069%, 99.9235%)
3,5,33 -> 197  (71.7069%, 97.7188%)
3,5,197 -> 33  (71.7069%, 91.2998%)
3,33,197 -> 5  (71.7069%, 99.9617%)
5,33,197 -> 3  (71.7069%, 99.9617%)
5 -> 33,192  (71.6795%, 84.8879%)
33 -> 5,192  (71.6795%, 97.1726%)
192 -> 5,33  (71.6795%, 89.7286%)
5,33 -> 192  (71.6795%, 97.5355%)
5,192 -> 33  (71.6795%, 92.1665%)
33,192 -> 5  (71.6795%, 99.9235%)
3 -> 6,33,197  (71.6795%, 77.2781%)
6 -> 3,33,197  (71.6795%, 80.8418%)
33 -> 3,6,197  (71.6795%, 97.1726%)
197 -> 3,6,33  (71.6795%, 90.3181%)
3,6 -> 33,197  (71.6795%, 82.1384%)
3,33 -> 6,197  (71.6795%, 97.39%)
3,197 -> 6,33  (71.6795%, 90.663%)
6,33 -> 3,197  (71.6795%, 97.7545%)
6,197 -> 3,33  (71.6795%, 90.8838%)
33,197 -> 3,6  (71.6795%, 99.8853%)
3,6,33 -> 197  (71.6795%, 97.901%)
3,6,197 -> 33  (71.6795%, 91.233%)
3,33,197 -> 6  (71.6795%, 99.9235%)
6,33,197 -> 3  (71.6795%, 99.9617%)
3 -> 33,192  (71.652%, 77.2485%)
33 -> 3,192  (71.652%, 97.1354%)
192 -> 3,33  (71.652%, 89.6943%)
3,33 -> 192  (71.652%, 97.3527%)
3,192 -> 33  (71.652%, 90.7543%)
33,192 -> 3  (71.652%, 99.8852%)
3 -> 5,33,192  (71.5971%, 77.1893%)
5 -> 3,33,192  (71.5971%, 84.7904%)
33 -> 3,5,192  (71.5971%, 97.061%)
192 -> 3,5,33  (71.5971%, 89.6256%)
3,5 -> 33,192  (71.5971%, 86.3336%)
3,33 -> 5,192  (71.5971%, 97.2782%)
3,192 -> 5,33  (71.5971%, 90.6847%)
5,33 -> 3,192  (71.5971%, 97.4235%)
5,192 -> 3,33  (71.5971%, 92.0607%)
33,192 -> 3,5  (71.5971%, 99.8087%)
3,5,33 -> 192  (71.5971%, 97.5692%)
3,5,192 -> 33  (71.5971%, 92.2234%)
3,33,192 -> 5  (71.5971%, 99.9234%)
5,33,192 -> 3  (71.5971%, 99.8851%)
6 -> 33,192  (71.4874%, 80.6252%)
33 -> 6,192  (71.4874%, 96.9122%)
192 -> 6,33  (71.4874%, 89.4881%)
6,33 -> 192  (71.4874%, 97.4925%)
6,192 -> 33  (71.4874%, 91.1477%)
33,192 -> 6  (71.4874%, 99.6557%)
3 -> 6,33,192  (71.4325%, 77.0118%)
6 -> 3,33,192  (71.4325%, 80.5633%)
33 -> 3,6,192  (71.4325%, 96.8378%)
192 -> 3,6,33  (71.4325%, 89.4194%)
3,6 -> 33,192  (71.4325%, 81.8553%)
3,33 -> 6,192  (71.4325%, 97.0544%)
3,192 -> 6,33  (71.4325%, 90.4762%)
6,33 -> 3,192  (71.4325%, 97.4177%)
6,192 -> 3,33  (71.4325%, 91.0777%)
33,192 -> 3,6  (71.4325%, 99.5792%)
3,6,33 -> 192  (71.4325%, 97.5637%)
3,6,192 -> 33  (71.4325%, 91.2053%)
3,33,192 -> 6  (71.4325%, 99.6936%)
6,33,192 -> 3  (71.4325%, 99.9232%)
3 -> 125  (71.2953%, 76.8639%)
125 -> 3  (71.2953%, 99.7313%)
6 -> 221  (71.213%, 80.3157%)
221 -> 6  (71.213%, 98.7819%)
5 -> 45  (71.1581%, 84.2704%)
45 -> 5  (71.1581%, 98.3314%)
3 -> 5,45  (70.9934%, 76.5385%)
5 -> 3,45  (70.9934%, 84.0754%)
45 -> 3,5  (70.9934%, 98.1039%)
3,5 -> 45  (70.9934%, 85.6056%)
3,45 -> 5  (70.9934%, 98.4399%)
5,45 -> 3  (70.9934%, 99.7686%)
3 -> 6,221  (70.966%, 76.5089%)
6 -> 3,221  (70.966%, 80.0371%)
221 -> 3,6  (70.966%, 98.4393%)
3,6 -> 221  (70.966%, 81.3208%)
3,221 -> 6  (70.966%, 98.8532%)
6,221 -> 3  (70.966%, 99.6532%)
6 -> 125  (70.9111%, 79.9752%)
125 -> 6  (70.9111%, 99.1939%)
5 -> 6,45  (70.9111%, 83.9779%)
6 -> 5,45  (70.9111%, 79.9752%)
45 -> 5,6  (70.9111%, 97.9901%)
5,6 -> 45  (70.9111%, 85.7048%)
5,45 -> 6  (70.9111%, 99.6529%)
6,45 -> 5  (70.9111%, 98.626%)
3 -> 6,125  (70.8562%, 76.3905%)
6 -> 3,125  (70.8562%, 79.9133%)
125 -> 3,6  (70.8562%, 99.1171%)
3,6 -> 125  (70.8562%, 81.195%)
3,125 -> 6  (70.8562%, 99.3841%)
6,125 -> 3  (70.8562%, 99.9226%)
125 -> 192  (70.7464%, 98.9635%)
192 -> 125  (70.7464%, 88.5606%)
33 -> 192,197  (70.7464%, 95.9077%)
192 -> 33,197  (70.7464%, 88.5606%)
197 -> 33,192  (70.7464%, 89.1425%)
33,192 -> 197  (70.7464%, 98.6228%)
33,197 -> 192  (70.7464%, 98.5851%)
192,197 -> 33  (70.7464%, 93.0686%)
3 -> 5,6,45  (70.7464%, 76.2722%)
5 -> 3,6,45  (70.7464%, 83.7829%)
6 -> 3,5,45  (70.7464%, 79.7895%)
45 -> 3,5,6  (70.7464%, 97.7626%)
3,5 -> 6,45  (70.7464%, 85.3077%)
3,6 -> 5,45  (70.7464%, 81.0692%)
3,45 -> 5,6  (70.7464%, 98.0974%)
5,6 -> 3,45  (70.7464%, 85.5058%)
5,45 -> 3,6  (70.7464%, 99.4215%)
6,45 -> 3,5  (70.7464%, 98.3969%)
3,5,6 -> 45  (70.7464%, 86.5682%)
3,5,45 -> 6  (70.7464%, 99.6521%)
3,6,45 -> 5  (70.7464%, 98.6228%)
5,6,45 -> 3  (70.7464%, 99.7678%)
3 -> 33,192,197  (70.719%, 76.2426%)
33 -> 3,192,197  (70.719%, 95.8705%)
192 -> 3,33,197  (70.719%, 88.5263%)
197 -> 3,33,192  (70.719%, 89.1079%)
3,33 -> 192,197  (70.719%, 96.085%)
3,192 -> 33,197  (70.719%, 89.5725%)
3,197 -> 33,192  (70.719%, 89.4481%)
33,192 -> 3,197  (70.719%, 98.5845%)
33,197 -> 3,192  (70.719%, 98.5468%)
192,197 -> 3,33  (70.719%, 93.0325%)
3,33,192 -> 197  (70.719%, 98.6978%)
3,33,197 -> 192  (70.719%, 98.5845%)
3,192,197 -> 33  (70.719%, 93.1334%)
33,192,197 -> 3  (70.719%, 99.9612%)
3 -> 125,192  (70.5818%, 76.0947%)
125 -> 3,192  (70.5818%, 98.7332%)
192 -> 3,125  (70.5818%, 88.3545%)
3,125 -> 192  (70.5818%, 98.9992%)
3,192 -> 125  (70.5818%, 89.3987%)
125,192 -> 3  (70.5818%, 99.7673%)
33 -> 91  (70.3348%, 95.3497%)
91 -> 33  (70.3348%, 89.7095%)
3 -> 33,91  (70.3348%, 75.8284%)
33 -> 3,91  (70.3348%, 95.3497%)
91 -> 3,33  (70.3348%, 89.7095%)
3,33 -> 91  (70.3348%, 95.563%)
3,91 -> 33  (70.3348%, 90.5974%)
33,91 -> 3  (70.3348%, 100%)
6 -> 125,192  (70.3348%, 79.3253%)
125 -> 6,192  (70.3348%, 98.3877%)
192 -> 6,125  (70.3348%, 88.0453%)
6,125 -> 192  (70.3348%, 99.1873%)
6,192 -> 125  (70.3348%, 89.6781%)
125,192 -> 6  (70.3348%, 99.4182%)
5 -> 33,91  (70.2799%, 83.2304%)
33 -> 5,91  (70.2799%, 95.2753%)
91 -> 5,33  (70.2799%, 89.6395%)
5,33 -> 91  (70.2799%, 95.6311%)
5,91 -> 33  (70.2799%, 91.399%)
33,91 -> 5  (70.2799%, 99.922%)
3 -> 5,33,91  (70.2799%, 75.7692%)
5 -> 3,33,91  (70.2799%, 83.2304%)
33 -> 3,5,91  (70.2799%, 95.2753%)
91 -> 3,5,33  (70.2799%, 89.6395%)
3,5 -> 33,91  (70.2799%, 84.7452%)
3,33 -> 5,91  (70.2799%, 95.4884%)
3,91 -> 5,33  (70.2799%, 90.5267%)
5,33 -> 3,91  (70.2799%, 95.6311%)
5,91 -> 3,33  (70.2799%, 91.399%)
33,91 -> 3,5  (70.2799%, 99.922%)
3,5,33 -> 91  (70.2799%, 95.7741%)
3,5,91 -> 33  (70.2799%, 91.6607%)
3,33,91 -> 5  (70.2799%, 99.922%)
5,33,91 -> 3  (70.2799%, 100%)
3 -> 6,125,192  (70.2799%, 75.7692%)
6 -> 3,125,192  (70.2799%, 79.2634%)
125 -> 3,6,192  (70.2799%, 98.3109%)
192 -> 3,6,125  (70.2799%, 87.9766%)
3,6 -> 125,192  (70.2799%, 80.5346%)
3,125 -> 6,192  (70.2799%, 98.5758%)
3,192 -> 6,125  (70.2799%, 89.0163%)
6,125 -> 3,192  (70.2799%, 99.1099%)
6,192 -> 3,125  (70.2799%, 89.6081%)
125,192 -> 3,6  (70.2799%, 99.3406%)
3,6,125 -> 192  (70.2799%, 99.1867%)
3,6,192 -> 125  (70.2799%, 89.7337%)
3,125,192 -> 6  (70.2799%, 99.5723%)
6,125,192 -> 3  (70.2799%, 99.922%)
5 -> 125  (70.225%, 83.1654%)
125 -> 5  (70.225%, 98.2342%)
6 -> 33,91  (70.225%, 79.2015%)
33 -> 6,91  (70.225%, 95.2009%)
91 -> 6,33  (70.225%, 89.5695%)
6,33 -> 91  (70.225%, 95.771%)
6,91 -> 33  (70.225%, 90.9705%)
33,91 -> 6  (70.225%, 99.8439%)
3 -> 6,33,91  (70.225%, 75.7101%)
6 -> 3,33,91  (70.225%, 79.2015%)
33 -> 3,6,91  (70.225%, 95.2009%)
91 -> 3,6,33  (70.225%, 89.5695%)
3,6 -> 33,91  (70.225%, 80.4717%)
3,33 -> 6,91  (70.225%, 95.4139%)
3,91 -> 6,33  (70.225%, 90.456%)
6,33 -> 3,91  (70.225%, 95.771%)
6,91 -> 3,33  (70.225%, 90.9705%)
33,91 -> 3,6  (70.225%, 99.8439%)
3,6,33 -> 91  (70.225%, 95.9145%)
3,6,91 -> 33  (70.225%, 91.1325%)
3,33,91 -> 6  (70.225%, 99.8439%)
6,33,91 -> 3  (70.225%, 100%)
3 -> 5,125  (70.1701%, 75.6509%)
5 -> 3,125  (70.1701%, 83.1004%)
125 -> 3,5  (70.1701%, 98.1574%)
3,5 -> 125  (70.1701%, 84.6128%)
3,125 -> 5  (70.1701%, 98.4219%)
5,125 -> 3  (70.1701%, 99.9218%)
5 -> 6,125  (70.0055%, 82.9054%)
6 -> 5,125  (70.0055%, 78.9539%)
125 -> 5,6  (70.0055%, 97.9271%)
