Rule   (Support, Confidence) 
3,91,192 -> 197  (64.2123%, 98.1675%)
3,91,197 -> 192  (64.2123%, 98.4252%)
3,192,197 -> 91  (64.2123%, 93.985%)
91,192,197 -> 3  (64.2123%, 99.4695%)
3 -> 5,125  (64.0411%, 72.4806%)
5 -> 3,125  (64.0411%, 76.1711%)
125 -> 3,5  (64.0411%, 97.6501%)
3,5 -> 125  (64.0411%, 79.5745%)
3,125 -> 5  (64.0411%, 99.7333%)
5,125 -> 3  (64.0411%, 98.9418%)
3 -> 5,33,192  (64.0411%, 72.4806%)
5 -> 3,33,192  (64.0411%, 76.1711%)
33 -> 3,5,192  (64.0411%, 91.6667%)
192 -> 3,5,33  (64.0411%, 85.3881%)
3,5 -> 33,192  (64.0411%, 79.5745%)
3,33 -> 5,192  (64.0411%, 93.2668%)
3,192 -> 5,33  (64.0411%, 88.4161%)
5,33 -> 3,192  (64.0411%, 92.804%)
5,192 -> 3,33  (64.0411%, 87.7934%)
33,192 -> 3,5  (64.0411%, 98.9418%)
3,5,33 -> 192  (64.0411%, 93.9698%)
3,5,192 -> 33  (64.0411%, 88.8361%)
3,33,192 -> 5  (64.0411%, 99.7333%)
5,33,192 -> 3  (64.0411%, 99.2042%)
3 -> 6,33,192  (64.0411%, 72.4806%)
6 -> 3,33,192  (64.0411%, 72.3404%)
33 -> 3,6,192  (64.0411%, 91.6667%)
192 -> 3,6,33  (64.0411%, 85.3881%)
3,6 -> 33,192  (64.0411%, 76.0163%)
3,33 -> 6,192  (64.0411%, 93.2668%)
3,192 -> 6,33  (64.0411%, 88.4161%)
6,33 -> 3,192  (64.0411%, 92.1182%)
6,192 -> 3,33  (64.0411%, 88%)
33,192 -> 3,6  (64.0411%, 98.9418%)
3,6,33 -> 192  (64.0411%, 93.5%)
3,6,192 -> 33  (64.0411%, 89.0476%)
3,33,192 -> 6  (64.0411%, 99.7333%)
6,33,192 -> 3  (64.0411%, 99.2042%)
3 -> 6,125  (63.8699%, 72.2868%)
6 -> 3,125  (63.8699%, 72.147%)
125 -> 3,6  (63.8699%, 97.389%)
3,6 -> 125  (63.8699%, 75.813%)
3,125 -> 6  (63.8699%, 99.4667%)
6,125 -> 3  (63.8699%, 98.939%)
125 -> 192  (63.6986%, 97.1279%)
192 -> 125  (63.6986%, 84.9315%)
3 -> 5,6,125  (63.6986%, 72.093%)
5 -> 3,6,125  (63.6986%, 75.7637%)
6 -> 3,5,125  (63.6986%, 71.9536%)
125 -> 3,5,6  (63.6986%, 97.1279%)
3,5 -> 6,125  (63.6986%, 79.1489%)
3,6 -> 5,125  (63.6986%, 75.6098%)
3,125 -> 5,6  (63.6986%, 99.2%)
5,6 -> 3,125  (63.6986%, 77.5%)
5,125 -> 3,6  (63.6986%, 98.4127%)
6,125 -> 3,5  (63.6986%, 98.6737%)
3,5,6 -> 125  (63.6986%, 80.5195%)
3,5,125 -> 6  (63.6986%, 99.4652%)
3,6,125 -> 5  (63.6986%, 99.7319%)
5,6,125 -> 3  (63.6986%, 98.9362%)
5 -> 45,192  (63.5274%, 75.5601%)
45 -> 5,192  (63.5274%, 91.6049%)
192 -> 5,45  (63.5274%, 84.7032%)
5,45 -> 192  (63.5274%, 94.6429%)
5,192 -> 45  (63.5274%, 87.0892%)
45,192 -> 5  (63.5274%, 98.9333%)
6 -> 45,192  (63.5274%, 71.7602%)
45 -> 6,192  (63.5274%, 91.6049%)
192 -> 6,45  (63.5274%, 84.7032%)
6,45 -> 192  (63.5274%, 93.4509%)
6,192 -> 45  (63.5274%, 87.2941%)
45,192 -> 6  (63.5274%, 98.9333%)
5 -> 6,195  (63.1849%, 75.1527%)
6 -> 5,195  (63.1849%, 71.3733%)
195 -> 5,6  (63.1849%, 96.5969%)
5,6 -> 195  (63.1849%, 76.875%)
5,195 -> 6  (63.1849%, 98.4%)
6,195 -> 5  (63.1849%, 98.4%)
5 -> 125,192  (63.1849%, 75.1527%)
125 -> 5,192  (63.1849%, 96.3446%)
192 -> 5,125  (63.1849%, 84.2466%)
5,125 -> 192  (63.1849%, 97.619%)
5,192 -> 125  (63.1849%, 86.6197%)
125,192 -> 5  (63.1849%, 99.1935%)
3 -> 195  (63.0137%, 71.3178%)
195 -> 3  (63.0137%, 96.3351%)
3 -> 45,192  (63.0137%, 71.3178%)
45 -> 3,192  (63.0137%, 90.8642%)
192 -> 3,45  (63.0137%, 84.0183%)
3,45 -> 192  (63.0137%, 93.6387%)
3,192 -> 45  (63.0137%, 86.9976%)
45,192 -> 3  (63.0137%, 98.1333%)
6 -> 125,192  (62.8425%, 70.9865%)
125 -> 6,192  (62.8425%, 95.8225%)
192 -> 6,125  (62.8425%, 83.79%)
6,125 -> 192  (62.8425%, 97.3475%)
6,192 -> 125  (62.8425%, 86.3529%)
125,192 -> 6  (62.8425%, 98.6559%)
3 -> 5,45,192  (62.8425%, 71.124%)
5 -> 3,45,192  (62.8425%, 74.7454%)
45 -> 3,5,192  (62.8425%, 90.6173%)
192 -> 3,5,45  (62.8425%, 83.79%)
3,5 -> 45,192  (62.8425%, 78.0851%)
3,45 -> 5,192  (62.8425%, 93.3842%)
3,192 -> 5,45  (62.8425%, 86.7612%)
5,45 -> 3,192  (62.8425%, 93.6224%)
5,192 -> 3,45  (62.8425%, 86.1502%)
45,192 -> 3,5  (62.8425%, 97.8667%)
3,5,45 -> 192  (62.8425%, 95.5729%)
3,5,192 -> 45  (62.8425%, 87.1734%)
3,45,192 -> 5  (62.8425%, 99.7283%)
5,45,192 -> 3  (62.8425%, 98.9218%)
3 -> 6,45,192  (62.8425%, 71.124%)
6 -> 3,45,192  (62.8425%, 70.9865%)
45 -> 3,6,192  (62.8425%, 90.6173%)
192 -> 3,6,45  (62.8425%, 83.79%)
3,6 -> 45,192  (62.8425%, 74.5935%)
3,45 -> 6,192  (62.8425%, 93.3842%)
3,192 -> 6,45  (62.8425%, 86.7612%)
6,45 -> 3,192  (62.8425%, 92.4433%)
6,192 -> 3,45  (62.8425%, 86.3529%)
45,192 -> 3,6  (62.8425%, 97.8667%)
3,6,45 -> 192  (62.8425%, 94.3445%)
